Count,Name,Type,Cost,Rarity,Section,Image URL,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint
1,Acorn Harvest,Sorcery,{3}{G},Common,main,https://s.deckbox.org/system/images/mtg/cards/29873.jpg,Torment,,,,,,,,
1,Arbor Elf,Creature - Elf Druid,{G},Common,main,https://s.deckbox.org/system/images/mtg/cards/442149.jpg,Masters 25,,,,,,,,
1,Beastmaster Ascension,Enchantment,{2}{G},Rare,main,https://s.deckbox.org/system/images/mtg/cards/420759.jpg,Commander 2016,,,,,,,,
1,Blood Artist,Creature - Vampire,{1}{B},Uncommon,main,https://s.deckbox.org/system/images/mtg/cards/433031.jpg,Commander 2017,,,,,,,,
1,Bojuka Bog,Land,,Common,main,https://s.deckbox.org/system/images/mtg/cards/2012256.jpg,Commander 2020,,,,,,,,
1,Castle Garenbrig,Land,"",Rare,main,https://s.deckbox.org/system/images/mtg/cards/2005480.jpg,Throne of Eldraine,,,,,,,,
1,Chatter of the Squirrel,Sorcery,{G},Common,main,https://s.deckbox.org/system/images/mtg/cards/31444.jpg,Odyssey,,,,,,,,
1,"Chatterfang, Squirrel General",Legendary Creature - Squirrel Warrior,{2}{G},MythicRare,main,https://s.deckbox.org/system/images/mtg/cards/2019686.jpg,Modern Horizons 2,,,,,,,,
1,Chatterstorm,Sorcery,{1}{G},Common,main,https://s.deckbox.org/system/images/mtg/cards/2019687.jpg,Modern Horizons 2,,,,,,,,
1,Chitterspitter,Artifact,{2}{G},Rare,main,https://s.deckbox.org/system/images/mtg/cards/2019688.jpg,Modern Horizons 2,,,,,,,,
1,Circle of Dreams Druid,Creature - Elf Druid,{G}{G}{G},Rare,main,https://s.deckbox.org/system/images/mtg/cards/2020714.jpg,Adventures in the Forgotten Realms,,,,,,,,
1,Commander's Sphere,Artifact,{3},Common,main,https://s.deckbox.org/system/images/mtg/cards/2016012.jpg,Commander Legends,,,,,,,,
1,Culling Ritual,Sorcery,{2}{B}{G},Rare,main,https://s.deckbox.org/system/images/mtg/cards/2018122.jpg,Strixhaven: School of Mages,,,,,,,,
1,Cultivate,Sorcery,{2}{G},Common,main,https://s.deckbox.org/system/images/mtg/cards/2016130.jpg,Commander Legends,,,,,,,,
1,Dark Ritual,Instant,{B},Common,main,https://s.deckbox.org/system/images/mtg/cards/442071.jpg,Masters 25,,,,,,,,
1,Darkmoss Bridge,Artifact Land,"",Common,main,https://s.deckbox.org/system/images/mtg/cards/2019780.jpg,Modern Horizons 2,,,,,,,,
1,Deathrite Shaman,Creature - Elf Shaman,{BG},Rare,main,https://s.deckbox.org/system/images/mtg/cards/2003202.jpg,Guilds of Ravnica Guild Kit,,,,,,,,
1,Deep Forest Hermit,Creature - Elf Druid,{3}{G}{G},Rare,main,https://s.deckbox.org/system/images/mtg/cards/464110.jpg,Modern Horizons,,,,,,,,
1,Dig Up,Sorcery,{G},Rare,main,https://s.deckbox.org/system/images/mtg/cards/2023870.jpg,Innistrad: Crimson Vow,,,,,,,,
