Count,Name,Type,Cost,Rarity,Section,Image URL,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint
1,Aether Gale,Sorcery,{3}{U}{U},Rare,main,https://s.deckbox.org/system/images/mtg/cards/451035.jpg,Commander 2018,,,,,,,,
1,Ancient Stone Idol,Artifact Creature - Golem,{10},Rare,main,https://s.deckbox.org/system/images/mtg/cards/450654.jpg,Commander 2018,,,,,,,,
1,Blasphemous Act,Sorcery,{8}{R},Rare,main,https://s.deckbox.org/system/images/mtg/cards/2015868.jpg,Commander Legends,,,,,,,,
1,Blinkmoth Urn,Artifact,{5},Rare,main,https://s.deckbox.org/system/images/mtg/cards/451152.jpg,Commander 2018,,,,,,,,
1,"Bosh, Iron Golem",Legendary Artifact Creature - Golem,{8},Rare,main,https://s.deckbox.org/system/images/mtg/cards/451153.jpg,Commander 2018,,,,,,,,
1,"Brudiclad, Telchor Engineer",Legendary Artifact Creature - Phyrexian Artificer,{4}{U}{R},MythicRare,main,https://s.deckbox.org/system/images/mtg/cards/450640.jpg,Commander 2018,,,,,,,,
1,Buried Ruin,Land,,Uncommon,main,https://s.deckbox.org/system/images/mtg/cards/451194.jpg,Commander 2018,,,,,,,,
1,Chaos Warp,Instant,{2}{R},Rare,main,https://s.deckbox.org/system/images/mtg/cards/2012143.jpg,Commander 2020,,,,,,,,
1,Chief of the Foundry,Artifact Creature - Construct,{3},Uncommon,main,https://s.deckbox.org/system/images/mtg/cards/417773.jpg,Kaladesh,,,,,,,,
1,Command Tower,Land,"",Common,main,https://s.deckbox.org/system/images/mtg/cards/2016056.jpg,Commander Legends,,,,,,,,
1,Commander's Sphere,Artifact,{3},Common,main,https://s.deckbox.org/system/images/mtg/cards/2016012.jpg,Commander Legends,,,,,,,,
1,Coveted Jewel,Artifact,{6},Rare,main,https://s.deckbox.org/system/images/mtg/cards/450655.jpg,Commander 2018,,,,,,,,
1,Darksteel Citadel,Artifact Land,,Uncommon,main,https://s.deckbox.org/system/images/mtg/cards/451196.jpg,Commander 2018,,,,,,,,
1,Darksteel Juggernaut,Artifact Creature - Juggernaut,{5},Rare,main,https://s.deckbox.org/system/images/mtg/cards/451157.jpg,Commander 2018,,,,,,,,
1,Dreamstone Hedron,Artifact,{6},Uncommon,main,https://s.deckbox.org/system/images/mtg/cards/2016013.jpg,Commander Legends,,,,,,,,
1,Duplicant,Artifact Creature - Shapeshifter,{6},Rare,main,https://s.deckbox.org/system/images/mtg/cards/451160.jpg,Commander 2018,,,,,,,,
1,Echo Storm,Sorcery,{3}{U}{U},Rare,main,https://s.deckbox.org/system/images/mtg/cards/450608.jpg,Commander 2018,,,,,,,,
1,Enchanter's Bane,Enchantment,{1}{R},Rare,main,https://s.deckbox.org/system/images/mtg/cards/450622.jpg,Commander 2018,,,,,,,,
1,Endless Atlas,Artifact,{2},Rare,main,https://s.deckbox.org/system/images/mtg/cards/450656.jpg,Commander 2018,,,,,,,,
1,Etherium Sculptor,Artifact Creature - Vedalken Artificer,{1}{U},Common,main,https://s.deckbox.org/system/images/mtg/cards/451045.jpg,Commander 2018,,,,,,,,
1,Forge of Heroes,Land,,Common,main,https://s.deckbox.org/system/images/mtg/cards/450659.jpg,Commander 2018,,,,,,,,
1,Geode Golem,Artifact Creature - Golem,{5},Uncommon,main,https://s.deckbox.org/system/images/mtg/cards/450657.jpg,Commander 2018,,,,,,,,
1,Gilded Lotus,Artifact,{5},Rare,main,https://s.deckbox.org/system/images/mtg/cards/443103.jpg,Dominaria,,,,,,,,
1,Great Furnace,Artifact Land,,Common,main,https://s.deckbox.org/system/images/mtg/cards/451205.jpg,Commander 2018,,,,,,,,
1,Hedron Archive,Artifact,{4},Uncommon,main,https://s.deckbox.org/system/images/mtg/cards/470760.jpg,Commander 2019,,,,,,,,
1,Hellkite Igniter,Creature - Dragon,{5}{R}{R},Rare,main,https://s.deckbox.org/system/images/mtg/cards/451079.jpg,Commander 2018,,,,,,,,
1,Highland Lake,Land,,Uncommon,main,https://s.deckbox.org/system/images/mtg/cards/470797.jpg,Commander 2019,,,,,,,,
1,Inkwell Leviathan,Artifact Creature - Leviathan,{7}{U}{U},Rare,main,https://s.deckbox.org/system/images/mtg/cards/451046.jpg,Commander 2018,,,,,,,,
1,Into the Roil,Instant,{1}{U},Common,main,https://s.deckbox.org/system/images/mtg/cards/2016103.jpg,Commander Legends,,,,,,,,
15,Island,Basic Land - Island,"",BasicLand,main,https://s.deckbox.org/system/images/mtg/cards/2016212.jpg,Commander Legends,,,,,,,,
1,Izzet Boilerworks,Land,,Uncommon,main,https://s.deckbox.org/system/images/mtg/cards/2012280.jpg,Commander 2020,,,,,,,,
1,Izzet Guildgate,Land - Gate,,Common,main,https://s.deckbox.org/system/images/mtg/cards/470799.jpg,Commander 2019,,,,,,,,
1,Izzet Signet,Artifact,{2},Uncommon,main,https://s.deckbox.org/system/images/mtg/cards/2012240.jpg,Commander 2020,,,,,,,,
